"","Code.INSEE","Code.Postal","Commune","Code.Département","Code.Région"
"23110","51501","51600","SAINTE-MARIE-A-PY","51",21
"23111","78380","78580","MAULE","78",11
"23112","81153","81260","LE MARGNES","81",73
"23113","52229","52500","GRENANT","52",21
"23114","32223","32380","MAGNAS","32",73
"23115","74108","74410","DUINGT","74",82
"23116","51406","51300","NORROIS","51",21
"23117","71239","71760","ISSY-L'EVEQUE","71",26
"23118","57657","57170","SOTZELING","57",41
"23119","29270","29800","SAINT-URBAIN","29",53
"23120","17250","17240","MOSNAC","17",54
"23121","16245","16270","NIEUIL","16",54
"23122","14008","14480","AMBLIE","14",25
"23123","68338","68230","TURCKHEIM","68",42
"23124","46278","46800","SAINT-MATRE","46",73
"23125","31090","31480","BRIGNEMONT","31",73
"23126","25054","25420","BERCHE","25",43
"23127","31136","31620","CEPET","31",73
"23128","02298","02510","ETREUX","02",22
"23129","42051","42410","LA CHAPELLE-VILLARS","42",82
"23130","32277","32220","MONTAMAT","32",73
"23131","51449","51360","PRUNAY","51",21
"23132","87199","87600","VAYRES","87",74
"23133","41199","41310","SAINT-AMAND-LONGPRE","41",24
"23134","07005","07400","ALBA-LA-ROMAINE","07",82
"23135","71250","71870","LAIZE","71",26
"23136","90055","90100","GROSNE","90",43
"23137","35093","35800","DINARD","35",53
"23138","60651","60730","ULLY-SAINT-GEORGES","60",22
"23139","16378","16700","TAIZE-AIZIE","16",54
"23140","11051","11270","BREZILHAC","11",91
"23141","31495","31560","SAINT-LEON","31",73
"23142","17202","17380","LANDES","17",54
"23143","11149","11400","FONTERS-DU-RAZES","11",91
"23144","54256","54290","HAUSSONVILLE","54",41
"23145","65243","65700","LAFITOLE","65",73
"23146","50123","50570","LA CHAPELLE-EN-JUGER","50",25
"23147","31197","31210","FRANQUEVIELLE","31",73
"23148","17204","17500","LEOVILLE","17",54
"23149","36234","36400","VERNEUIL-SUR-IGNERAIE","36",24
"23150","70048","70140","BARD-LES-PESMES","70",43
"23151","2B226","20251","PIETRASERENA","2B",94
"23152","25624","25640","VILLERS-GRELOT","25",43
"23153","70516","70000","VALLEROIS-LE-BOIS","70",43
"23154","55551","55210","VIGNEULLES-LES-HATTONCHATEL","55",41
"23155","55462","55210","SAINT-MAURICE-SOUS-LES-COTES","55",41
"23156","21613","21350","SOUSSEY-SUR-BRIONNE","21",26
"23157","90014","90100","BORON","90",43
"23158","06081","06910","LE MAS","06",93
"23159","38392","38460","SAINT-HILAIRE-DE-BRENS","38",82
"23160","06113","06500","SAINTE-AGNES","06",93
"23161","63225","63750","MESSEIX","63",83
"23162","2B010","20220","ALGAJOLA","2B",94
"23163","15195","15320","SAINT-JUST","15",83
"23164","27043","27160","LES BAUX-DE-BRETEUIL","27",23
"23165","21382","21320","MARCILLY-OGNY","21",26
"23166","25538","25110","SECHIN","25",43
"23167","54158","54170","DOLCOURT","54",41
"23168","43059","43160","LA CHAPELLE-GENESTE","43",83
"23169","58158","58240","MARS-SUR-ALLIER","58",26
"23170","61183","61390","GAPREE","61",25
"23171","89331","89520","SAINPUITS","89",26
"23172","29094","29260","KERNOUES","29",53
"23173","32036","32160","BEAUMARCHES","32",73
"23174","24016","24300","AUGIGNAC","24",72
"23175","37071","37220","CHEZELLES","37",24
"23176","40205","40380","NOUSSE","40",72
"23177","71440","71990","SAINT-LEGER-SOUS-BEUVRAY","71",26
"23178","59216","59161","ESWARS","59",31
"23179","65413","65120","SAZOS","65",73
"23180","24398","24360","SAINT-ESTEPHE","24",72
"23181","55348","55290","MONTIERS-SUR-SAULX","55",41
"23182","42295","42440","LES SALLES","42",82
"23183","16094","16460","CHENOMMET","16",54
"23184","36188","36700","SAINT-CYRAN-DU-JAMBOT","36",24
"23185","14406","14740","MARTRAGNY","14",25
"23186","25520","25360","SAINT-JUAN","25",43
"23187","11341","11500","SAINT-FERRIOL","11",91
"23188","71469","71520","SAINT-PIERRE-LE-VIEUX","71",26
"23189","73070","73240","CHAMPAGNEUX","73",82
"23190","89342","89100","SAINT-DENIS-LES-SENS","89",26
"23191","36225","36700","LE TRANGER","36",24
"23192","81126","81500","LACOUGOTTE-CADOUL","81",73
"23193","65473","65260","VILLELONGUE","65",73
"23194","42288","42130","SAINT-SIXTE","42",82
"23195","19113","19160","LIGINIAC","19",74
"23196","37177","37460","ORBIGNY","37",24
"23197","59317","59116","HOUPLINES","59",31
"23198","69191","69450","SAINT-CYR-AU-MONT-D'OR","69",82
"23199","85209","85210","SAINT-ETIENNE-DE-BRILLOUET","85",52
"23200","89445","89700","VEZANNES","89",26
