unit,sex,age,icd10,resid,time\geo	EU28 	BE 	BG 	CZ 	DK 	DE 	EE 	IE 	EL 	ES 	FR 	HR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	NL 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	UK 	NO 	CH 	RS 	TR 
NR,F,Y50-54,RHEUM_ARTHRO,TOT_IN,2011	39 	0 	2 	0 	1 	4 	0 	1 	0 	2 	1 	0 	5 	0 	0 	1 	0 	2 	0 	1 	1 	7 	0 	: 	1 	2 	0 	1 	7 	1 	0 	2 	9 
NR,F,Y50-54,RHEUM_ARTHRO,TOT_RESID,2011	39 	0 	2 	0 	1 	4 	0 	1 	0 	2 	1 	0 	5 	0 	0 	1 	0 	2 	0 	1 	1 	7 	0 	0 	1 	2 	0 	1 	7 	1 	0 	2 	9 
NR,F,Y50-54,R_OTH,TOT_IN,2011	264 	10 	3 	3 	0 	18 	0 	0 	28 	22 	131 	1 	24 	0 	0 	0 	1 	0 	0 	6 	0 	8 	6 	: 	0 	1 	0 	1 	1 	1 	0 	4 	20 
NR,F,Y50-54,R_OTH,TOT_RESID,2011	263 	10 	3 	3 	0 	18 	0 	0 	27 	22 	131 	1 	23 	0 	0 	0 	1 	0 	0 	6 	0 	8 	6 	0 	0 	1 	0 	1 	2 	1 	0 	4 	19 
NR,F,Y50-54,TOXICO,TOT_IN,2011	21 	1 	0 	0 	1 	9 	: 	: 	1 	0 	2 	: 	2 	: 	: 	: 	: 	0 	: 	1 	1 	0 	0 	: 	: 	: 	1 	0 	2 	2 	1 	0 	0 
NR,F,Y50-54,TOXICO,TOT_RESID,2011	21 	1 	0 	0 	1 	9 	: 	: 	1 	0 	2 	: 	2 	: 	: 	: 	: 	0 	: 	1 	1 	0 	0 	: 	: 	: 	1 	0 	2 	2 	1 	0 	0 
NR,F,Y50-54,V01-Y89,TOT_IN,2011	3460 	141 	43 	96 	34 	476 	19 	21 	40 	173 	591 	32 	188 	1 	29 	75 	5 	128 	1 	82 	68 	396 	44 	181 	18 	70 	78 	67 	363 	41 	55 	43 	129 
NR,F,Y50-54,V01-Y89,TOT_RESID,2011	3443 	139 	43 	94 	33 	487 	19 	22 	38 	168 	587 	32 	175 	1 	29 	75 	5 	126 	1 	82 	66 	396 	43 	185 	18 	72 	78 	67 	362 	41 	54 	43 	123 
NR,F,Y50-54,V01-Y89_OTH,TOT_IN,2011	63 	3 	1 	0 	2 	16 	0 	1 	0 	4 	7 	4 	3 	0 	1 	0 	0 	0 	0 	2 	4 	6 	0 	1 	2 	0 	0 	1 	5 	1 	1 	1 	1 
NR,F,Y50-54,V01-Y89_OTH,TOT_RESID,2011	63 	3 	1 	0 	2 	16 	0 	1 	0 	4 	7 	4 	3 	0 	1 	0 	0 	0 	0 	2 	4 	6 	0 	1 	2 	0 	0 	1 	5 	1 	1 	1 	1 
NR,F,Y50-54,V_Y85,TOT_IN,2011	501 	11 	8 	25 	1 	73 	1 	2 	16 	26 	58 	6 	60 	1 	3 	7 	1 	17 	0 	9 	4 	75 	13 	42 	3 	5 	9 	3 	22 	4 	3 	5 	66 
NR,F,Y50-54,V_Y85,TOT_RESID,2011	492 	10 	8 	25 	1 	77 	1 	3 	15 	23 	55 	6 	54 	1 	3 	7 	1 	16 	0 	8 	3 	75 	13 	45 	3 	6 	9 	3 	21 	4 	4 	5 	60 
NR,F,Y50-54,W00-W19,TOT_IN,2011	235 	11 	3 	3 	1 	36 	0 	2 	6 	10 	31 	0 	12 	0 	1 	2 	0 	4 	0 	9 	8 	28 	2 	15 	2 	9 	4 	3 	33 	2 	9 	1 	10 
NR,F,Y50-54,W00-W19,TOT_RESID,2011	236 	11 	3 	3 	1 	38 	0 	2 	6 	10 	32 	0 	11 	0 	1 	2 	0 	4 	0 	9 	7 	28 	2 	15 	2 	9 	4 	3 	33 	2 	8 	1 	10 
NR,F,Y50-54,W65-W74,TOT_IN,2011	100 	1 	2 	4 	1 	7 	1 	0 	2 	3 	16 	1 	4 	0 	1 	2 	: 	3 	1 	0 	0 	24 	1 	13 	0 	4 	2 	0 	7 	0 	1 	2 	2 
NR,F,Y50-54,W65-W74,TOT_RESID,2011	99 	1 	2 	4 	1 	8 	1 	0 	2 	3 	15 	1 	4 	0 	1 	2 	: 	3 	1 	0 	0 	24 	1 	12 	0 	4 	2 	0 	7 	0 	1 	2 	2 
NR,F,Y50-54,X40-X49,TOT_IN,2011	352 	3 	2 	16 	6 	15 	8 	9 	0 	14 	62 	2 	6 	0 	2 	12 	1 	3 	: 	2 	1 	37 	0 	27 	2 	7 	31 	9 	75 	10 	2 	0 	4 
NR,F,Y50-54,X40-X49,TOT_RESID,2011	351 	3 	2 	16 	6 	15 	8 	9 	0 	13 	62 	2 	4 	0 	2 	12 	1 	3 	: 	3 	1 	38 	0 	27 	2 	7 	31 	9 	75 	10 	2 	0 	4 
NR,F,Y50-54,X60-X84_Y870,TOT_IN,2011	1368 	76 	12 	23 	15 	243 	4 	4 	4 	81 	297 	14 	72 	0 	6 	16 	2 	62 	: 	50 	37 	104 	19 	37 	7 	15 	20 	32 	116 	21 	27 	23 	15 
NR,F,Y50-54,X60-X84_Y870,TOT_RESID,2011	1367 	75 	12 	22 	14 	245 	4 	4 	4 	80 	297 	14 	71 	0 	6 	16 	2 	63 	: 	50 	37 	104 	19 	38 	7 	15 	20 	32 	116 	21 	26 	23 	15 
NR,F,Y50-54,X85-Y09_Y871,TOT_IN,2011	124 	9 	1 	4 	0 	13 	2 	0 	1 	5 	12 	2 	11 	0 	2 	6 	: 	8 	0 	1 	1 	15 	1 	15 	1 	2 	3 	3 	6 	2 	3 	3 	7 
NR,F,Y50-54,X85-Y09_Y871,TOT_RESID,2011	122 	9 	1 	4 	0 	13 	2 	0 	1 	5 	12 	2 	9 	0 	2 	6 	: 	8 	0 	1 	1 	15 	1 	15 	1 	2 	3 	3 	6 	2 	3 	3 	7 
NR,F,Y50-54,Y10-Y34_Y872,TOT_IN,2011	263 	13 	8 	7 	5 	27 	0 	3 	0 	0 	12 	0 	1 	0 	3 	14 	1 	7 	0 	3 	7 	64 	5 	1 	0 	16 	1 	11 	54 	0 	3 	4 	: 
NR,F,Y50-54,Y10-Y34_Y872,TOT_RESID,2011	263 	13 	8 	6 	5 	29 	0 	3 	0 	0 	12 	0 	1 	0 	3 	14 	1 	6 	0 	3 	7 	64 	4 	1 	0 	17 	1 	11 	54 	0 	3 	4 	: 
NR,F,Y55-59,A-R_V-Y,TOT_IN,2011	70983 	1661 	1691 	1863 	858 	11447 	228 	462 	1141 	4001 	7977 	791 	5950 	63 	537 	686 	56 	3117 	46 	2362 	992 	8534 	1218 	4778 	287 	1047 	727 	944 	7519 	579 	744 	2028 	6240 
NR,F,Y55-59,A-R_V-Y,TOT_RESID,2011	70855 	1647 	1694 	1852 	859 	11479 	228 	456 	1133 	3969 	7962 	781 	5885 	60 	537 	686 	55 	3112 	46 	2361 	979 	8538 	1211 	4799 	288 	1056 	727 	946 	7509 	582 	723 	2029 	6201 
NR,F,Y55-59,A15-A19_B90,TOT_IN,2011	53 	0 	0 	0 	0 	4 	0 	0 	0 	1 	2 	4 	1 	0 	0 	0 	0 	1 	0 	0 	2 	11 	3 	22 	0 	0 	0 	0 	2 	0 	0 	2 	11 
NR,F,Y55-59,A15-A19_B90,TOT_RESID,2011	53 	0 	0 	0 	0 	4 	0 	0 	0 	1 	2 	4 	1 	0 	0 	0 	0 	1 	0 	0 	2 	11 	3 	22 	0 	0 	0 	0 	2 	0 	0 	2 	10 
NR,F,Y55-59,ACC,TOT_IN,2011	1937 	64 	21 	59 	20 	209 	17 	17 	37 	97 	322 	15 	115 	0 	29 	59 	2 	80 	0 	48 	33 	227 	33 	158 	10 	31 	44 	28 	162 	20 	27 	31 	137 
NR,F,Y55-59,ACC,TOT_RESID,2011	1928 	61 	21 	60 	20 	216 	17 	15 	34 	91 	325 	13 	113 	0 	29 	59 	2 	80 	0 	48 	29 	229 	32 	161 	10 	29 	44 	28 	162 	20 	25 	31 	131 
NR,F,Y55-59,ACC_OTH,TOT_IN,2011	564 	23 	7 	23 	4 	48 	5 	2 	6 	45 	122 	4 	32 	0 	14 	22 	0 	23 	: 	5 	6 	70 	6 	36 	1 	9 	4 	7 	40 	7 	10 	11 	52 
NR,F,Y55-59,ACC_OTH,TOT_RESID,2011	565 	23 	7 	22 	4 	50 	5 	2 	6 	44 	124 	4 	34 	0 	14 	22 	0 	23 	: 	5 	6 	70 	6 	36 	0 	9 	4 	7 	38 	7 	6 	11 	52 
NR,F,Y55-59,A_B,TOT_IN,2011	917 	30 	9 	26 	11 	190 	1 	1 	1 	51 	147 	10 	92 	0 	4 	5 	2 	11 	0 	34 	12 	88 	25 	52 	0 	7 	5 	10 	93 	6 	11 	12 	141 
NR,F,Y55-59,A_B,TOT_RESID,2011	913 	30 	9 	26 	11 	191 	1 	1 	1 	51 	145 	10 	91 	0 	4 	5 	2 	11 	0 	34 	12 	88 	25 	52 	0 	7 	5 	10 	91 	6 	10 	12 	139 
NR,F,Y55-59,A_B_OTH,TOT_IN,2011	645 	28 	8 	17 	7 	155 	0 	0 	1 	32 	100 	5 	56 	0 	2 	5 	2 	9 	0 	31 	2 	61 	13 	21 	0 	5 	4 	5 	76 	6 	7 	8 	87 
NR,F,Y55-59,A_B_OTH,TOT_RESID,2011	642 	28 	8 	17 	7 	155 	0 	0 	1 	32 	99 	5 	55 	0 	2 	5 	2 	9 	0 	31 	2 	61 	13 	21 	0 	5 	4 	5 	75 	6 	7 	8 	86 
NR,F,Y55-59,B15-B19_B942,TOT_IN,2011	57 	1 	0 	0 	0 	7 	1 	1 	0 	6 	16 	0 	8 	0 	0 	0 	: 	0 	: 	0 	3 	0 	7 	4 	: 	: 	0 	1 	2 	0 	0 	0 	1 
NR,F,Y55-59,B15-B19_B942,TOT_RESID,2011	57 	1 	0 	0 	0 	7 	1 	1 	0 	6 	16 	0 	8 	: 	0 	0 	: 	0 	: 	0 	3 	0 	7 	4 	: 	: 	0 	1 	2 	0 	0 	0 	1 
NR,F,Y55-59,B20-B24,TOT_IN,2011	162 	1 	1 	9 	4 	24 	0 	0 	: 	12 	29 	1 	27 	0 	2 	0 	0 	1 	0 	3 	5 	16 	2 	5 	0 	2 	1 	4 	13 	0 	4 	2 	42 
NR,F,Y55-59,B20-B24,TOT_RESID,2011	161 	1 	1 	9 	4 	25 	0 	0 	: 	12 	28 	1 	27 	0 	2 	0 	0 	1 	0 	3 	5 	16 	2 	5 	0 	2 	1 	4 	12 	0 	3 	2 	42 
NR,F,Y55-59,C,TOT_IN,2011	37307 	861 	676 	947 	446 	6088 	110 	271 	603 	2393 	4229 	441 	3637 	38 	216 	257 	34 	1480 	29 	1452 	555 	4376 	651 	1940 	169 	490 	349 	510 	4059 	351 	433 	971 	2214 
NR,F,Y55-59,C,TOT_RESID,2011	37262 	856 	674 	942 	445 	6098 	109 	267 	601 	2388 	4226 	438 	3610 	38 	216 	258 	31 	1478 	29 	1450 	550 	4379 	649 	1949 	171 	495 	350 	510 	4055 	352 	422 	971 	2206 
NR,F,Y55-59,C00-C14,TOT_IN,2011	770 	21 	12 	17 	9 	142 	4 	3 	9 	59 	105 	7 	55 	0 	4 	5 	0 	55 	: 	21 	15 	71 	8 	35 	5 	14 	3 	10 	81 	4 	14 	10 	27 
NR,F,Y55-59,C00-C14,TOT_RESID,2011	771 	21 	12 	17 	9 	142 	4 	3 	9 	59 	105 	7 	55 	0 	4 	5 	0 	55 	: 	21 	15 	71 	8 	35 	5 	14 	3 	10 	82 	4 	13 	10 	27 
NR,F,Y55-59,C00-D48,TOT_IN,2011	37832 	873 	679 	956 	448 	6148 	110 	272 	603 	2447 	4313 	444 	3717 	40 	216 	259 	34 	1492 	29 	1466 	561 	4471 	660 	1948 	169 	494 	355 	521 	4107 	353 	442 	979 	2262 
NR,F,Y55-59,C00-D48,TOT_RESID,2011	37785 	868 	677 	950 	447 	6158 	109 	268 	601 	2442 	4309 	441 	3689 	41 	216 	260 	31 	1490 	29 	1464 	556 	4474 	658 	1957 	171 	500 	356 	521 	4102 	354 	432 	979 	2254 
NR,F,Y55-59,C15,TOT_IN,2011	490 	21 	2 	12 	2 	83 	1 	2 	3 	19 	70 	6 	23 	0 	2 	5 	3 	27 	0 	33 	6 	40 	5 	10 	2 	5 	7 	6 	95 	2 	6 	4 	38 
NR,F,Y55-59,C15,TOT_RESID,2011	490 	21 	2 	12 	2 	83 	1 	2 	3 	19 	70 	6 	23 	0 	2 	5 	3 	27 	0 	33 	6 	40 	5 	10 	2 	5 	7 	6 	95 	2 	6 	4 	38 
NR,F,Y55-59,C16,TOT_IN,2011	1170 	12 	41 	33 	13 	198 	2 	8 	24 	99 	88 	26 	141 	3 	11 	12 	1 	48 	1 	25 	21 	145 	41 	75 	7 	16 	6 	10 	63 	8 	18 	35 	156 
NR,F,Y55-59,C16,TOT_RESID,2011	1169 	12 	41 	33 	13 	198 	2 	7 	23 	99 	88 	26 	141 	3 	11 	12 	1 	48 	1 	25 	21 	146 	41 	75 	7 	16 	6 	10 	63 	8 	18 	35 	156 
NR,F,Y55-59,C18-C21,TOT_IN,2011	3235 	60 	65 	74 	44 	478 	11 	16 	54 	269 	362 	44 	346 	4 	28 	27 	5 	166 	0 	135 	34 	345 	83 	146 	15 	61 	24 	58 	281 	33 	39 	92 	203 
NR,F,Y55-59,C18-C21,TOT_RESID,2011	3230 	58 	65 	74 	44 	479 	11 	16 	54 	269 	362 	44 	341 	4 	28 	27 	5 	166 	0 	136 	34 	345 	83 	147 	15 	61 	24 	58 	280 	33 	38 	92 	203 
NR,F,Y55-59,C22,TOT_IN,2011	783 	13 	16 	24 	9 	107 	0 	6 	15 	56 	100 	14 	90 	1 	1 	4 	0 	30 	0 	20 	5 	78 	10 	58 	5 	7 	6 	8 	100 	8 	6 	28 	61 
NR,F,Y55-59,C22,TOT_RESID,2011	781 	13 	15 	24 	9 	107 	0 	6 	15 	55 	100 	14 	89 	1 	1 	4 	0 	30 	0 	21 	5 	78 	10 	58 	5 	7 	6 	8 	100 	8 	6 	28 	61 
NR,F,Y55-59,C25,TOT_IN,2011	1974 	36 	35 	72 	29 	348 	7 	10 	21 	139 	214 	20 	231 	1 	9 	13 	1 	78 	2 	80 	33 	202 	27 	91 	8 	20 	25 	23 	199 	13 	30 	38 	117 
NR,F,Y55-59,C25,TOT_RESID,2011	1973 	35 	35 	72 	28 	351 	7 	10 	21 	140 	213 	20 	230 	1 	9 	13 	1 	78 	2 	79 	31 	202 	27 	92 	9 	20 	25 	23 	199 	13 	27 	38 	116 
NR,F,Y55-59,C32,TOT_IN,2011	177 	5 	3 	2 	1 	21 	0 	0 	5 	14 	22 	2 	14 	0 	0 	0 	0 	18 	: 	7 	2 	28 	6 	10 	0 	1 	1 	0 	15 	1 	1 	8 	8 
NR,F,Y55-59,C32,TOT_RESID,2011	177 	5 	3 	2 	1 	21 	0 	0 	5 	14 	22 	2 	14 	0 	0 	0 	0 	18 	: 	7 	2 	28 	6 	10 	0 	1 	1 	0 	15 	1 	1 	8 	8 
NR,F,Y55-59,C33_C34,TOT_IN,2011	7766 	220 	85 	168 	124 	1424 	11 	51 	109 	387 	949 	89 	603 	7 	20 	16 	3 	441 	4 	444 	151 	1019 	80 	248 	35 	58 	53 	99 	868 	92 	105 	219 	284 
NR,F,Y55-59,C33_C34,TOT_RESID,2011	7762 	219 	85 	168 	124 	1427 	11 	50 	109 	387 	948 	88 	597 	7 	20 	16 	3 	441 	4 	444 	149 	1019 	79 	251 	36 	59 	53 	99 	869 	92 	102 	219 	282 
NR,F,Y55-59,C43,TOT_IN,2011	521 	15 	4 	12 	5 	78 	0 	6 	10 	27 	61 	10 	50 	0 	5 	7 	0 	10 	0 	36 	13 	51 	8 	21 	3 	11 	5 	11 	62 	6 	5 	8 	13 
NR,F,Y55-59,C43,TOT_RESID,2011	520 	15 	4 	12 	5 	78 	0 	6 	10 	26 	62 	10 	50 	0 	5 	7 	0 	10 	0 	36 	13 	51 	8 	21 	3 	11 	5 	11 	61 	6 	5 	8 	13 
NR,F,Y55-59,C50,TOT_IN,2011	7694 	206 	145 	165 	94 	1293 	26 	65 	132 	522 	951 	77 	842 	15 	50 	61 	10 	206 	5 	288 	82 	670 	161 	387 	37 	106 	80 	106 	912 	69 	84 	220 	381 
NR,F,Y55-59,C50,TOT_RESID,2011	7685 	206 	144 	164 	94 	1296 	26 	65 	132 	519 	952 	77 	836 	15 	50 	61 	9 	204 	5 	288 	83 	670 	160 	390 	37 	106 	80 	106 	910 	70 	85 	220 	380 
NR,F,Y55-59,C53,TOT_IN,2011	1316 	20 	48 	36 	9 	152 	11 	12 	19 	63 	98 	10 	32 	1 	17 	21 	0 	64 	3 	15 	15 	272 	22 	264 	1 	34 	3 	9 	65 	6 	4 	68 	45 
NR,F,Y55-59,C53,TOT_RESID,2011	1314 	20 	48 	36 	9 	152 	11 	11 	19 	63 	98 	10 	31 	1 	17 	21 	0 	64 	3 	15 	15 	271 	22 	264 	1 	34 	3 	9 	66 	6 	3 	68 	45 
NR,F,Y55-59,C54_C55,TOT_IN,2011	1134 	20 	37 	32 	3 	113 	1 	7 	22 	90 	160 	11 	156 	0 	10 	19 	1 	35 	2 	32 	13 	123 	22 	78 	7 	16 	6 	15 	103 	5 	6 	25 	72 
NR,F,Y55-59,C54_C55,TOT_RESID,2011	1129 	20 	37 	31 	3 	113 	1 	7 	22 	90 	160 	11 	153 	0 	10 	19 	0 	35 	2 	32 	13 	123 	22 	78 	7 	17 	6 	15 	102 	5 	6 	25 	72 
NR,F,Y55-59,C56,TOT_IN,2011	2543 	48 	53 	61 	29 	427 	16 	28 	39 	149 	240 	34 	235 	1 	24 	28 	3 	61 	5 	90 	41 	364 	36 	146 	14 	30 	39 	50 	252 	42 	26 	46 	175 
NR,F,Y55-59,C56,TOT_RESID,2011	2542 	47 	53 	60 	29 	426 	15 	28 	39 	149 	242 	34 	234 	1 	24 	28 	2 	61 	5 	90 	40 	366 	36 	146 	14 	31 	40 	50 	252 	42 	26 	46 	175 
NR,F,Y55-59,C64,TOT_IN,2011	537 	11 	11 	22 	7 	93 	0 	4 	5 	29 	46 	4 	48 	0 	5 	2 	0 	29 	1 	14 	6 	73 	7 	14 	2 	18 	9 	4 	73 	2 	6 	8 	24 
NR,F,Y55-59,C64,TOT_RESID,2011	538 	11 	11 	21 	7 	94 	0 	3 	5 	29 	46 	4 	48 	0 	5 	2 	0 	29 	1 	14 	6 	73 	7 	14 	2 	19 	9 	4 	74 	2 	5 	8 	24 
NR,F,Y55-59,C67,TOT_IN,2011	344 	9 	2 	7 	3 	50 	0 	4 	5 	25 	44 	3 	27 	0 	0 	2 	0 	23 	3 	13 	6 	47 	7 	6 	1 	6 	2 	4 	45 	2 	3 	9 	10 
NR,F,Y55-59,C67,TOT_RESID,2011	344 	9 	2 	7 	3 	50 	0 	4 	5 	25 	44 	3 	27 	0 	0 	2 	0 	23 	3 	13 	6 	47 	7 	6 	1 	6 	2 	4 	45 	2 	3 	9 	10 
NR,F,Y55-59,C70-C72,TOT_IN,2011	1278 	30 	33 	37 	19 	209 	3 	16 	20 	101 	121 	23 	105 	0 	11 	10 	1 	24 	0 	39 	21 	149 	27 	83 	8 	19 	17 	20 	132 	10 	23 	32 	136 
NR,F,Y55-59,C70-C72,TOT_RESID,2011	1278 	30 	33 	36 	19 	209 	3 	16 	20 	101 	121 	23 	105 	0 	11 	10 	1 	24 	0 	39 	21 	149 	27 	83 	8 	20 	17 	20 	132 	10 	23 	32 	135 
NR,F,Y55-59,C73,TOT_IN,2011	106 	5 	5 	1 	0 	16 	0 	1 	3 	6 	6 	0 	10 	0 	3 	1 	0 	8 	0 	1 	1 	9 	3 	9 	0 	3 	5 	3 	7 	0 	1 	3 	16 
NR,F,Y55-59,C73,TOT_RESID,2011	106 	5 	5 	1 	0 	16 	0 	1 	3 	6 	6 	0 	10 	0 	3 	1 	0 	8 	0 	1 	1 	9 	3 	9 	0 	3 	5 	3 	7 	0 	1 	3 	16 
NR,F,Y55-59,C81-C85,TOT_IN,2011	649 	15 	11 	14 	5 	101 	1 	6 	6 	41 	62 	8 	89 	1 	2 	3 	0 	22 	1 	18 	8 	62 	13 	34 	5 	9 	8 	9 	95 	7 	9 	11 	58 
NR,F,Y55-59,C81-C85,TOT_RESID,2011	646 	15 	11 	14 	5 	101 	1 	6 	6 	41 	61 	6 	89 	1 	2 	3 	0 	22 	1 	18 	8 	62 	13 	34 	5 	9 	8 	9 	95 	7 	9 	11 	58 
NR,F,Y55-59,C88_C90_C96,TOT_IN,2011	455 	14 	3 	5 	7 	81 	2 	2 	14 	42 	43 	3 	51 	0 	2 	2 	0 	17 	0 	12 	9 	58 	8 	14 	1 	5 	4 	3 	53 	5 	6 	7 	63 
NR,F,Y55-59,C88_C90_C96,TOT_RESID,2011	454 	14 	3 	5 	7 	81 	2 	2 	14 	42 	43 	3 	51 	0 	2 	2 	0 	17 	0 	12 	8 	58 	8 	15 	1 	5 	4 	3 	52 	5 	5 	7 	63 
NR,F,Y55-59,C91-C95,TOT_IN,2011	750 	19 	14 	21 	9 	116 	3 	2 	15 	45 	70 	10 	88 	2 	3 	7 	1 	34 	0 	22 	8 	88 	20 	41 	5 	9 	7 	6 	85 	10 	7 	22 	91 
NR,F,Y55-59,C91-C95,TOT_RESID,2011	748 	19 	14 	21 	9 	116 	3 	2 	15 	45 	69 	10 	88 	2 	3 	7 	1 	34 	0 	22 	8 	89 	20 	41 	5 	9 	7 	6 	83 	10 	7 	22 	91 
NR,F,Y55-59,C_OTH,TOT_IN,2011	3615 	61 	51 	132 	25 	558 	11 	22 	73 	211 	417 	40 	401 	2 	9 	12 	5 	84 	2 	107 	65 	482 	57 	170 	8 	42 	39 	56 	473 	26 	34 	78 	236 
NR,F,Y55-59,C_OTH,TOT_RESID,2011	3605 	61 	51 	132 	25 	558 	11 	22 	72 	210 	414 	40 	398 	2 	9 	13 	5 	84 	2 	104 	65 	482 	57 	170 	8 	42 	39 	56 	473 	26 	33 	78 	233 
NR,F,Y55-59,D00-D48,TOT_IN,2011	525 	12 	3 	9 	2 	60 	0 	1 	0 	54 	84 	3 	80 	2 	0 	2 	0 	12 	0 	14 	6 	95 	9 	8 	0 	4 	6 	11 	48 	2 	9 	8 	48 
NR,F,Y55-59,D00-D48,TOT_RESID,2011	523 	12 	3 	8 	2 	60 	0 	1 	0 	54 	83 	3 	79 	3 	0 	2 	0 	12 	0 	14 	6 	95 	9 	8 	0 	5 	6 	11 	47 	2 	10 	8 	48 
NR,F,Y55-59,D50-D89,TOT_IN,2011	172 	7 	3 	3 	3 	15 	0 	3 	4 	17 	26 	0 	29 	0 	0 	0 	0 	6 	1 	4 	3 	8 	6 	5 	0 	0 	0 	5 	24 	2 	1 	7 	41 
NR,F,Y55-59,D50-D89,TOT_RESID,2011	171 	7 	3 	3 	3 	15 	0 	3 	4 	17 	26 	0 	28 	0 	0 	0 	0 	6 	1 	4 	3 	8 	6 	5 	0 	0 	0 	5 	24 	2 	1 	7 	41 
NR,F,Y55-59,E,TOT_IN,2011	1569 	36 	26 	29 	23 	300 	3 	6 	21 	80 	195 	10 	235 	2 	9 	12 	1 	61 	0 	43 	54 	155 	54 	53 	3 	25 	10 	15 	108 	11 	10 	54 	544 
NR,F,Y55-59,E,TOT_RESID,2011	1566 	36 	26 	28 	23 	300 	3 	5 	21 	79 	195 	10 	234 	2 	9 	12 	1 	60 	0 	43 	55 	155 	53 	53 	3 	26 	10 	15 	109 	11 	10 	54 	544 
NR,F,Y55-59,E10-E14,TOT_IN,2011	1041 	17 	25 	21 	19 	172 	2 	5 	13 	46 	103 	10 	161 	2 	8 	11 	1 	42 	0 	34 	18 	134 	34 	49 	1 	21 	8 	15 	69 	7 	7 	46 	483 
NR,F,Y55-59,E10-E14,TOT_RESID,2011	1039 	17 	25 	20 	19 	172 	2 	4 	13 	45 	103 	10 	161 	2 	8 	11 	1 	41 	0 	34 	19 	134 	33 	49 	1 	22 	8 	15 	70 	7 	7 	46 	483 
NR,F,Y55-59,E_OTH,TOT_IN,2011	528 	19 	1 	8 	4 	128 	1 	1 	8 	34 	92 	0 	74 	0 	1 	1 	0 	19 	0 	9 	36 	21 	20 	4 	2 	4 	2 	0 	39 	4 	3 	8 	61 
NR,F,Y55-59,E_OTH,TOT_RESID,2011	527 	19 	1 	8 	4 	128 	1 	1 	8 	34 	92 	0 	73 	0 	1 	1 	0 	19 	0 	9 	36 	21 	20 	4 	2 	4 	2 	0 	39 	4 	3 	8 	61 
NR,F,Y55-59,F,TOT_IN,2011	767 	27 	2 	10 	31 	220 	4 	4 	2 	22 	180 	9 	37 	0 	3 	1 	1 	27 	1 	20 	14 	43 	5 	9 	3 	2 	10 	9 	71 	6 	8 	6 	9 
NR,F,Y55-59,F,TOT_RESID,2011	768 	27 	2 	10 	31 	220 	4 	4 	2 	22 	181 	9 	37 	0 	3 	1 	1 	27 	1 	20 	14 	43 	5 	9 	3 	2 	10 	9 	71 	6 	7 	6 	9 
NR,F,Y55-59,F01_F03,TOT_IN,2011	89 	3 	1 	1 	1 	14 	0 	2 	1 	8 	6 	0 	5 	0 	2 	0 	0 	5 	0 	5 	0 	1 	: 	: 	: 	0 	0 	3 	31 	0 	2 	0 	1 
NR,F,Y55-59,F01_F03,TOT_RESID,2011	89 	3 	1 	1 	1 	14 	0 	2 	1 	8 	6 	0 	5 	0 	2 	0 	0 	5 	0 	5 	0 	1 	0 	0 	: 	0 	0 	3 	31 	0 	2 	0 	1 
NR,F,Y55-59,F10,TOT_IN,2011	460 	18 	0 	6 	24 	169 	3 	1 	1 	3 	100 	3 	1 	: 	1 	0 	1 	13 	0 	6 	11 	42 	3 	4 	3 	1 	6 	5 	35 	3 	5 	0 	0 
NR,F,Y55-59,F10,TOT_RESID,2011	460 	18 	0 	6 	24 	169 	3 	1 	1 	3 	100 	3 	1 	: 	1 	0 	1 	13 	0 	6 	11 	42 	3 	4 	3 	1 	6 	5 	35 	3 	5 	0 	0 
NR,F,Y55-59,F_OTH,TOT_IN,2011	193 	6 	1 	3 	5 	24 	1 	1 	0 	11 	74 	6 	27 	0 	0 	1 	0 	9 	1 	6 	1 	0 	2 	5 	0 	1 	4 	1 	3 	3 	1 	6 	8 
NR,F,Y55-59,F_OTH,TOT_RESID,2011	194 	6 	1 	3 	5 	24 	1 	1 	0 	11 	75 	6 	27 	0 	0 	1 	0 	9 	1 	6 	1 	0 	2 	5 	0 	1 	4 	1 	3 	3 	0 	6 	8 
NR,F,Y55-59,G20,TOT_IN,2011	42 	1 	2 	1 	0 	5 	0 	0 	0 	5 	6 	1 	5 	0 	0 	1 	0 	0 	0 	0 	0 	4 	0 	0 	0 	1 	2 	1 	7 	0 	0 	1 	12 
NR,F,Y55-59,G20,TOT_RESID,2011	42 	1 	2 	1 	0 	5 	0 	0 	0 	5 	6 	1 	5 	0 	0 	1 	0 	0 	0 	0 	0 	4 	0 	0 	0 	1 	2 	1 	7 	0 	0 	1 	12 
NR,F,Y55-59,G30,TOT_IN,2011	124 	3 	1 	1 	2 	13 	2 	4 	8 	10 	13 	2 	13 	1 	0 	1 	0 	3 	0 	6 	2 	8 	3 	1 	0 	4 	7 	2 	14 	2 	1 	3 	15 
NR,F,Y55-59,G30,TOT_RESID,2011	123 	3 	1 	1 	2 	13 	2 	4 	8 	10 	13 	2 	12 	1 	0 	1 	0 	3 	0 	6 	2 	8 	3 	1 	0 	4 	7 	2 	14 	2 	1 	3 	15 
