unit,sex,age,icd10,resid,time\geo	EU28 	BE 	BG 	CZ 	DK 	DE 	EE 	IE 	EL 	ES 	FR 	HR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	NL 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	UK 	NO 	CH 	RS 	TR 
NR,F,TOTAL,C64,TOT_IN,2011	10975 	194 	101 	399 	105 	2105 	48 	53 	156 	662 	1286 	124 	1174 	3 	92 	86 	4 	336 	9 	361 	206 	998 	127 	274 	70 	146 	171 	213 	1472 	101 	99 	121 	296 
NR,F,TOTAL,C64,TOT_RESID,2011	10971 	194 	101 	398 	105 	2110 	48 	52 	154 	662 	1282 	124 	1171 	3 	92 	86 	4 	335 	9 	361 	204 	999 	128 	277 	70 	147 	171 	213 	1471 	101 	92 	121 	296 
NR,F,TOTAL,C67,TOT_IN,2011	10574 	226 	92 	192 	155 	1891 	30 	91 	186 	931 	1238 	87 	1190 	6 	47 	55 	10 	268 	14 	361 	180 	678 	227 	327 	50 	77 	89 	193 	1683 	118 	167 	164 	296 
NR,F,TOTAL,C67,TOT_RESID,2011	10567 	225 	92 	192 	155 	1892 	30 	91 	185 	932 	1238 	87 	1188 	6 	47 	55 	10 	268 	14 	361 	179 	678 	227 	327 	50 	77 	88 	193 	1680 	118 	166 	164 	296 
NR,F,TOTAL,C70-C72,TOT_IN,2011	15218 	314 	327 	353 	198 	2623 	50 	108 	555 	1238 	1486 	230 	1687 	11 	96 	130 	9 	320 	9 	411 	237 	1395 	377 	703 	74 	187 	163 	231 	1696 	138 	225 	335 	1273 
NR,F,TOTAL,C70-C72,TOT_RESID,2011	15212 	309 	327 	352 	198 	2626 	50 	109 	554 	1236 	1486 	231 	1682 	11 	95 	130 	9 	320 	9 	415 	236 	1395 	377 	703 	74 	187 	163 	231 	1697 	138 	224 	335 	1266 
NR,F,TOTAL,C73,TOT_IN,2011	2289 	54 	37 	40 	30 	389 	14 	17 	49 	196 	242 	22 	328 	2 	25 	20 	1 	71 	2 	65 	40 	149 	79 	97 	10 	23 	30 	57 	200 	22 	45 	44 	172 
NR,F,TOTAL,C73,TOT_RESID,2011	2286 	54 	37 	40 	30 	388 	14 	17 	49 	196 	240 	22 	326 	2 	25 	20 	1 	71 	2 	65 	40 	150 	79 	99 	10 	23 	30 	57 	199 	22 	44 	44 	172 
NR,F,TOTAL,C81-C85,TOT_IN,2011	16051 	371 	118 	278 	151 	3097 	41 	145 	117 	1290 	2084 	136 	2380 	26 	59 	80 	9 	233 	16 	517 	293 	826 	378 	384 	73 	137 	214 	307 	2291 	164 	229 	163 	732 
NR,F,TOTAL,C81-C85,TOT_RESID,2011	16018 	367 	118 	277 	151 	3097 	41 	144 	116 	1291 	2075 	134 	2367 	26 	59 	80 	9 	232 	16 	519 	291 	826 	378 	386 	73 	138 	214 	307 	2286 	164 	223 	163 	731 
NR,F,TOTAL,C88_C90_C96,TOT_IN,2011	11097 	255 	47 	218 	102 	2025 	37 	73 	295 	949 	1508 	102 	1652 	8 	36 	63 	15 	189 	7 	342 	204 	655 	219 	198 	64 	134 	139 	227 	1334 	107 	138 	99 	416 
NR,F,TOTAL,C88_C90_C96,TOT_RESID,2011	11091 	254 	47 	218 	102 	2031 	37 	73 	292 	948 	1508 	102 	1648 	8 	36 	63 	15 	188 	7 	342 	202 	654 	219 	201 	64 	134 	139 	227 	1332 	107 	133 	99 	416 
NR,F,TOTAL,C91-C95,TOT_IN,2011	18869 	417 	193 	393 	218 	3536 	73 	86 	445 	1495 	2582 	166 	2707 	23 	73 	139 	18 	474 	12 	572 	364 	1256 	359 	526 	110 	155 	159 	313 	2005 	140 	260 	235 	1168 
NR,F,TOTAL,C91-C95,TOT_RESID,2011	18834 	418 	194 	392 	218 	3541 	73 	86 	443 	1491 	2575 	165 	2692 	23 	73 	139 	19 	474 	12 	568 	358 	1256 	358 	531 	108 	156 	159 	313 	1999 	140 	261 	235 	1166 
NR,F,TOTAL,C_OTH,TOT_IN,2011	75643 	1479 	661 	1757 	843 	12730 	183 	429 	1680 	5351 	8453 	726 	10934 	78 	264 	404 	51 	1341 	53 	2615 	1417 	6264 	1284 	2228 	285 	655 	711 	1591 	11176 	560 	778 	1112 	2844 
NR,F,TOTAL,C_OTH,TOT_RESID,2011	75569 	1467 	666 	1751 	843 	12748 	183 	427 	1679 	5339 	8436 	723 	10905 	77 	265 	405 	50 	1339 	53 	2608 	1412 	6262 	1284 	2230 	284 	661 	711 	1591 	11170 	563 	767 	1112 	2839 
NR,F,TOTAL,D00-D48,TOT_IN,2011	20040 	489 	48 	199 	136 	3587 	34 	92 	6 	1801 	3398 	108 	3740 	20 	54 	78 	13 	311 	6 	662 	372 	1817 	261 	157 	29 	66 	183 	526 	1847 	137 	298 	181 	647 
NR,F,TOTAL,D00-D48,TOT_RESID,2011	20022 	482 	48 	196 	136 	3588 	34 	91 	6 	1801 	3401 	108 	3730 	21 	54 	78 	13 	309 	6 	663 	371 	1813 	261 	160 	29 	69 	183 	527 	1844 	137 	298 	182 	645 
NR,F,TOTAL,D50-D89,TOT_IN,2011	8298 	236 	66 	94 	146 	1618 	12 	44 	174 	894 	1228 	22 	1783 	26 	20 	13 	16 	123 	7 	275 	105 	179 	240 	75 	21 	48 	25 	178 	630 	83 	103 	116 	741 
NR,F,TOTAL,D50-D89,TOT_RESID,2011	8276 	231 	68 	93 	146 	1623 	12 	43 	174 	890 	1223 	23 	1767 	26 	20 	13 	16 	122 	7 	276 	105 	179 	240 	76 	21 	48 	26 	179 	629 	84 	102 	116 	738 
NR,F,TOTAL,E,TOT_IN,2011	79666 	1565 	920 	1597 	792 	17439 	123 	305 	709 	7542 	10574 	687 	15529 	222 	364 	175 	52 	1875 	26 	2081 	2104 	4176 	3200 	1283 	195 	567 	267 	1154 	4143 	575 	870 	1896 	11375 
NR,F,TOTAL,E,TOT_RESID,2011	79584 	1550 	921 	1593 	794 	17460 	123 	307 	706 	7529 	10573 	684 	15478 	222 	364 	175 	50 	1868 	25 	2079 	2098 	4168 	3198 	1289 	196 	569 	267 	1155 	4143 	575 	864 	1897 	11364 
NR,F,TOTAL,E10-E14,TOT_IN,2011	60779 	914 	902 	1340 	596 	13640 	104 	214 	523 	5842 	5775 	670 	12103 	193 	345 	162 	33 	1656 	19 	1543 	1613 	3962 	2614 	1199 	157 	482 	210 	924 	3044 	373 	652 	1809 	9755 
NR,F,TOTAL,E10-E14,TOT_RESID,2011	60721 	903 	902 	1338 	598 	13654 	104 	215 	521 	5836 	5775 	666 	12071 	192 	345 	162 	31 	1650 	19 	1540 	1610 	3955 	2613 	1201 	158 	483 	210 	925 	3044 	373 	651 	1810 	9746 
