"","Code.INSEE","Code.Postal","Commune","Code.Departement","Code.Region"
"191","67441","67350","SCHALKENDORF","67",42
"204","67094","67650","DIEFFENTHAL","67",42
"319","67458","67590","SCHWEIGHOUSE-SUR-MODER","67",42
"330","67231","67480","KAUFFENHEIM","67",42
"338","67200","67150","HIPSHEIM","67",42
"386","67322","67330","NEUWILLER-LES-SAVERNE","67",42
"447","67210","67140","LE HOHWALD","67",42
"706","67480","67190","STILL","67",42
"831","67346","67160","OBERLAUTERBACH","67",42
"858","67469","67440","SINGRIST","67",42
"882","67532","67370","WILLGOTTHEIM","67",42
"960","67049","67113","BLAESHEIM","67",42
"982","67362","67600","ORSCHWILLER","67",42
"1004","67367","67700","OTTERSWILLER","67",42
"1012","67528","67320","WEYER","67",42
"1086","67502","67110","UTTENHOFFEN","67",42
"1119","67204","67800","HOENHEIM","67",42
"1198","67297","67170","MITTELHAUSEN","67",42
"1269","67428","67530","SAINT-NABOR","67",42
"1431","67394","67250","RETSCHWILLER","67",42
"1459","67310","67600","MUSSIG","67",42
"1494","67476","67770","STATTMATTEN","67",42
"1546","67556","67310","ZEINHEIM","67",42
"1590","67099","67430","DOMFESSEL","67",42
"1628","67237","67840","KILSTETT","67",42
"1830","67071","67320","BUST","67",42
"1843","67320","67220","NEUVE-EGLISE","67",42
"1923","67412","67230","ROSSFELD","67",42
"2200","67069","67470","BUHL","67",42
"2201","67443","67630","SCHEIBENHARD","67",42
"2233","67146","67860","FRIESENHEIM","67",42
"2305","67192","67230","HERBSHEIM","67",42
"2343","67437","67700","SAVERNE","67",42
"2414","67327","67630","NIEDERLAUTERBACH","67",42
"2583","67047","67260","BISSERT","67",42
"2649","67345","67240","OBERHOFFEN-SUR-MODER","67",42
"2673","67555","67310","ZEHNACKER","67",42
"2696","67397","67860","RHINAU","67",42
"2716","67385","67430","RATZWILLER","67",42
"2752","67261","67630","LAUTERBOURG","67",42
"2790","67195","67390","HESSENHEIM","67",42
"2803","67560","67270","ZOEBERSDORF","67",42
"2931","67028","67230","BENFELD","67",42
"3068","67558","67110","ZINSWILLER","67",42
"3077","67032","67140","BERNARDVILLE","67",42
"3380","67081","67310","DAHLENHEIM","67",42
"3533","67053","67390","BOESENBIESEN","67",42
"3771","67178","67320","GUNGWILLER","67",42
"3776","67179","67700","HAEGEN","67",42
"3818","67309","67450","MUNDOLSHEIM","67",42
"3898","67409","67480","ROPPENHEIM","67",42
"3899","67302","67700","MONSWILLER","67",42
"3927","67429","67140","SAINT-PIERRE","67",42
"3928","67499","67220","URBEIS","67",42
"3994","67292","67580","MIETESHEIM","67",42
"4075","67421","67420","SAALES","67",42
"4188","67293","67270","MINVERSHEIM","67",42
"4336","67491","67290","TIEFFENBACH","67",42
"4397","67348","67210","OBERNAI","67",42
"4419","67450","67240","SCHIRRHOFFEN","67",42
"4605","67139","67310","FLEXBOURG","67",42
"4755","67347","67330","OBERMODERN-ZUTZENDORF","67",42
"4788","67299","67190","MOLLKIRCH","67",42
"4856","67110","67360","DURRENBACH","67",42
"4887","67029","67320","BERG","67",42
"4976","67196","67600","HILSENHEIM","67",42
"4995","67454","67320","SCHOENBOURG","67",42
"5026","67191","67260","HERBITZHEIM","67",42
"5029","67106","67410","DRUSENHEIM","67",42
"5059","67291","67580","MERTZWILLER","67",42
"5083","67505","67730","LA VANCELLE","67",42
